_SystemName,_DistrictWebsite,_City,_total_enroll,_Grade,_pct_asian,_pct_native,_pct_black,_pct_hispanic,_pct_multi,_pct_white,_sent_bool
Brantley County,http://www.brantley.k12.ga.us,Nahunta,3258,C,0,0,3,3,2,92,0
Pike County,http://www.pike.k12.ga.us/,Zebulon,3193,C,0,0,8,2,2,88,0
Haralson County,http://www.haralson.k12.ga.us/,Tallapoosa,3172,C,0,0,2,3,4,90,0
Morgan County,http://www.morgan.k12.ga.us/site/default.aspx,Madison,2990,C,1,0,26,7,4,63,0
Cook County,http://www.cook.k12.ga.us/,Adel,2960,C,1,0,34,10,3,51,0
Fannin County,http://www.fannin.k12.ga.us/,Blue Ridge,2919,C,1,0,0,5,2,92,0
Jeff Davis County,https://www.jeff-davis.k12.ga.us/,Hazlehurst,2919,C,1,0,14,23,3,60,0
Union County,http://www.ucschools.org/,Blairsville,2761,C,1,0,0,5,2,92,0
Toombs County,http://www.toombscountyschools.org/,Lyons,2754,C,0,0,18,27,4,51,0
Banks County,http://www.banks.k12.ga.us/,Commerce,2738,C,1,0,2,9,3,86,0
Thomasville City,http://www.tcitys.org/,Thomasville,2678,C,1,0,57,2,1,38,0
Chattooga County,https://www.chattooga.k12.ga.us/,Summerville,2601,C,0,0,9,6,6,78,0
Bleckley County,http://www.bleckley.k12.ga.us/,Cochran,2406,C,1,0,25,3,3,68,0
Jasper County,http://www.jasper.k12.ga.us/,Monticello,2262,C,0,0,22,7,5,66,0
Dade County,http://www.dadecountyschools.org/,Trenton,2045,C,1,0,1,2,2,94,0
Heard County,http://www.heard.k12.ga.us/,Franklin,1985,C,0,0,8,3,5,84,0
Social Circle City,http://www.socialcircleschools.com/,Social Circle,1722,C,1,0,22,4,3,70,0
Lanier County,http://www.lanier.k12.ga.us/,Lakeland,1636,C,1,0,26,7,4,62,0
Commerce City,http://www.commerce-city.k12.ga.us/,Commerce,1634,C,1,0,11,13,6,69,0
Irwin County,http://www.irwin.k12.ga.us/,Ocilla,1627,C,0,0,32,5,2,60,0
